Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
393,القرآن الكريم,Anonymous,4.38,"69,238","First published March 18, 632","The Quran (English pronunciation: /kɔrˈɑːn/; Arabic: القرآن‎ al-qurʾān, IPA: [qurˈʔaːn], literally meaning ""the recitation""), also transliterated Qur'an, Koran, Al-Coran, Coran, Kur'an, and Al-Qur'an, is the central religious text of Islam, which Muslims believe to be the verbatim word of God (Arabic: الله‎, Allah). ","3,815",604,Hardcover,"33,828","Nonfiction, Classics, Philosophy, Religion, Spirituality, History, Theology"
390,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,"436,419","First published October 8, 2013", She and the remaining crew of the ,"24,217",597,Hardcover,"34,486","Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Greek Mythology"
395,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.32,"1,311,761","First published May 2, 2019",Everyone in Fairview knows the story.,"142,245",433,Paperback,"33,680","Young Adult, Thriller, Mystery Thriller, Fiction, Crime, Audiobook, Contemporary"
387,It Ends with Us (It Ends with Us #1),Colleen Hoover,4.14,"3,855,183","First published August 2, 2016",Sometimes it is the one who loves you who hurts you the most.,"280,038",386,Kindle Edition,"34,749","Fiction, Contemporary, New Adult, Audiobook, Contemporary Romance, Adult, Abuse"
388,11/22/63,Stephen         King,4.34,"564,910","First published November 8, 2011","On November 22, 1963, three shots rang out in Dallas, President Kennedy died, and the world changed. Unless...","50,720",849,Hardcover,"34,722","Fiction, Historical Fiction, Science Fiction, Time Travel, Horror, Fantasy, Thriller"
401,The Grapes of Wrath,John Steinbeck,4.01,"928,965","First published April 14, 1939","The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.","25,257",479,Hardcover,"33,166","Classics, Fiction, Historical Fiction, Literature, Novels, School, American"
386,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,"875,153","First published April 17, 2012","When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.","27,987",579,Paperback,"35,016","Romance, Erotica, Fiction, BDSM, Adult, Contemporary, Contemporary Romance"
498,Redeeming Love,Francine Rivers,4.51,"335,301","First published January 1, 1991","California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep. ","19,441",479,Paperback,"23,838","Christian Fiction, Romance, Christian, Fiction, Historical Fiction, Historical, Historical Romance"
500,"I, Robot (Robot, #0.1)",Isaac Asimov,4.21,"354,709","First published December 2, 1950","Isaac Asimov's I, Robot launches readers on an adventure into a not-so-distant future where man and machine , struggle to redefinelife, love, and consciousness—and where the stakes are nothing less than survival. Filled with unforgettable characters, mind-bending speculation, and nonstop action, I, Robot is a powerful reading experience from one of the master storytellers of our time. ","10,707",224,Hardcover,"23,516","Science Fiction, Fiction, Classics, Short Stories, Science Fiction Fantasy, Fantasy, Audiobook"
499,"Neuromancer (Sprawl, #1)",William Gibson,3.89,"336,675","First published January 1, 1984","Hotwired to the leading edges of art and technology, ","14,993",288,Kindle Edition,"23,761","Science Fiction, Fiction, Cyberpunk, Classics, Dystopia, Science Fiction Fantasy, Fantasy"
495,To the Lighthouse,Virginia Woolf,3.80,"191,245","First published May 5, 1927","The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.","14,320",209,Paperback,"24,083","Classics, Fiction, Literature, Novels, Feminism, Literary Fiction, 20th Century"
496,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,"479,936","First published September 15, 1952","NARNIA... the world of wicked dragons and magic spells, where the very best is brought out of even the worst people, where anything can happen (and most often does)... and where the adventure begins.","11,620",248,Hardcover,"23,935","Fantasy, Fiction, Young Adult, Childrens, Adventure, Christian, Middle Grade"
494,Nineteen Minutes,Jodi Picoult,4.17,"382,331","First published March 5, 2007","In nineteen minutes, you can mow the front lawn, color your hair, watch a third of a hockey game. In nineteen minutes, you can bake scones or get a tooth filled by a dentist; you can fold laundry for a family of five....In nineteen minutes, you can stop the world, or you can just jump off it. In nineteen minutes, you can get revenge. ","20,075",440,Hardcover,"24,348","Fiction, Contemporary, Drama, Chick Lit, Adult, Young Adult, Adult Fiction"
492,Shantaram,Gregory David Roberts,4.27,"222,504","First published January 1, 2003","""It took me a long time and most of the world to learn what I know about love and fate and the choices we make, but the heart of it came to me in an instant, while I was chained to a wall and being tortured.""","17,277",936,Paperback,"24,490","Fiction, Travel, Adventure, Historical Fiction, Contemporary, Novels, Audiobook"
491,Waiting for Godot,Samuel Beckett,3.84,"207,070","First published April 1, 1952","The story revolves around two seemingly homeless men simply waiting for someone—or something—named Godot. Vladimir and Estragon wait near a tree, inhabiting a drama spun of their own consciousness. The result is a comical wordplay of poetry, dreamscapes, and nonsense, which has been interpreted as mankind’s inexhaustible search for meaning. Beckett’s language pioneered an expressionistic minimalism that captured the existential post-World War II Europe. His play remains one of the most magical and beautiful allegories of our time.","9,378",109,Paperback,"24,613","Plays, Classics, Fiction, Theatre, Literature, Philosophy, School"
493,Houdini Heart,Ki Longfellow,3.84,"5,483","First published April 25, 2011","HOUDINI HEART harkens back to the masters of suspenseful supernatural Poe, Lovecraft, Shirley Jackson, but speaks with a wholly fresh voice. Once caught in its pages, there's no escaping Longfellow's terrible tale. Weeks ago, she was one of Hollywood's biggest writers, wed to one of its greatest stars. The doting mother of their golden child. But now? She's alone, tortured by a horrifying secret no woman could bear. Pursued by those she can't outrun, anguished by a guilt she can't endure, and driven close to madness, she flees to the one place she's ever called a small town in Vermont where River House still stands. To a child, the splendid hotel was mysterious and magical and all its glamorous guests knew delicious secrets.Cocooned in its walls, she will write one last book. Her atonement? Or her suicide note? But life is never as you dream it, and River House isn't what she'd always imagined it was. Intense, literary, and harrowing, Houdini Heart is a tale of bone-chilling horror, emotional torment, and psychological terror. Gripped by River House, trapped in an aging hotel of mirrors only Houdini could escape, how much can haunt a mind before it too is only a thing once imagined? ""A haunting and disturbing journey through the psyche.""—Erika Mailman, Author of ""The Witch's Trinity""",229,254,Paperback,"24,357","Horror, Fantasy, Fiction, Mystery, Magical Realism, Gothic, Literature"
489,"The Chosen (Reuven Malther, #1)",Chaim Potok,4.07,"94,605","First published January 1, 1966","It is the now-classic story of two fathers and two sons and the pressures on all of them to pursue the religion they share in the way that is best suited to each. And as the boys grow into young men, they discover in the other a lost spiritual brother, and a link to an unexplored world that neither had ever considered before. In effect, they exchange places, and find the peace that neither will ever retreat from again. . . .","5,114",304,Mass Market Paperback,"24,680","Fiction, Classics, Historical Fiction, Young Adult, Jewish, Religion, School"
487,"Red, White & Royal Blue",Casey McQuiston,4.08,"1,069,217","First published May 14, 2019","First Son Alex Claremont-Diaz is the closest thing to a prince this side of the Atlantic. With his intrepid sister and the Veep’s genius granddaughter, they’re the White House Trio, a beautiful millennial marketing strategy for his mother, President Ellen Claremont. International socialite duties do have downsides—namely, when photos of a confrontation with his longtime nemesis Prince Henry at a royal wedding leak to the tabloids and threaten American/British relations. The plan for damage control: staging a fake friendship between the First Son and the Prince. ","119,185",448,Paperback,"24,876","Romance, LGBT, Contemporary, Fiction, Queer, Young Adult, Audiobook"
600,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,4.10,"524,869","First published January 23, 2007"," is the story of a sudden and powerful romance that blossoms between an adolescent boy and a summer guest at his parents' cliff-side mansion on the Italian Riviera. Unprepared for the consequences of their attraction, at first each feigns indifference. But during the restless summer weeks that follow, unrelenting buried currents of obsession and fear, fascination and desire, intensify their passion as they test the charged ground between them. What grows from the depths of their spirits is a romance of scarcely six weeks' duration and an experience that marks them for a lifetime. For what the two discover on the Riviera and during a sultry evening in Rome is the one thing both already fear they may never truly find again: total intimacy.","48,415",248,Paperback,"17,120","Fiction, LGBT, Queer, Contemporary, Audiobook, Gay, Coming Of Age"
